seed,locations,num_uavs,num_customers,num_obstacles,route,assignments,makespan,collisions_obstacle,collision_uavs
1098222,"[[5000 5000]
 [5000 4391]
 [6203 7000]
 [4500 7300]
 [7062 7000]
 [6750 1985]
 [7073 4500]
 [1500 3713]
 [2562 5250]
 [2250 7769]
 [2962 7000]
 [2250 4264]
 [3406 8250]
 [2250 1969]
 [3900 4500]
 [6750 2741]
 [7032 4500]
 [8000 3141]
 [2934 1750]
 [2750 5477]
 [2781 7500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[0, 1, 16, 6, 4, 2, 3, 20, 10, 19, 8, 0]","{(1, 1): (0, 16), (1, 10): (2, 19), (1, 3): (4, 20), (0, 10): (6, 19), (1, 2): (7, 3), (1, 8): (8, 0), (0, 8): (9, 0), (1, 6): (10, 4), (1, 16): (12, 6), (1, 0): (13, 1)}",1441,0,38
3234108,"[[5000 5000]
 [7250 2957]
 [4945 4250]
 [4500 2980]
 [5562 5750]
 [6750 7501]
 [3227 8250]
 [4500 3453]
 [1905 6500]
 [5500 8083]
 [7210 4500]
 [5500 5361]
 [3843 6500]
 [7000 7530]
 [4233 4250]
 [2750 4144]
 [6100 3750]
 [7500 3265]
 [7691 4750]
 [5500 2686]
 [6174 4250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[0, 4, 11, 20, 10, 17, 1, 19, 3, 7, 2, 0]","{(1, 4): (0, 11), (1, 7): (3, 2), (1, 11): (4, 20), (0, 11): (7, 20), (1, 10): (8, 17), (0, 1): (9, 19), (1, 20): (10, 10), (1, 2): (11, 0), (0, 10): (13, 17), (1, 0): (1, 4)}",1187,0,12
4792065,"[[5000 5000]
 [3500 5952]
 [2765 3500]
 [5250 4847]
 [5049 3500]
 [2250 4653]
 [8425 1500]
 [3250 4810]
 [2576 6750]
 [4000 8236]
 [4791 5750]
 [6000 4596]
 [2560 6000]
 [6250 2170]
 [6245 3000]
 [5000 2048]
 [2560 5500]
 [6250 3319]
 [5217 8000]
 [5000 8228]
 [3911 7750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[0, 10, 1, 8, 12, 16, 2, 4, 14, 11, 3, 0]","{(1, 0): (0, 10), (1, 14): (1, 11), (0, 16): (2, 2), (1, 10): (4, 1), (1, 4): (8, 14), (1, 16): (10, 2), (0, 14): (12, 11), (1, 1): (13, 8), (1, 8): (15, 12), (1, 11): (14, 3)}",1320,0,34
5541347,"[[5000 5000]
 [6500 6549]
 [3126 5500]
 [6000 6251]
 [7052 2750]
 [7750 3890]
 [4954 4000]
 [6500 4792]
 [5101 4250]
 [2750 4162]
 [1727 7000]
 [4500 4763]
 [6616 5500]
 [2750 5041]
 [6710 4250]
 [6500 4867]
 [7069 1500]
 [2500 7296]
 [1543 2000]
 [4250 3764]
 [6338 4250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[0, 13, 2, 3, 1, 12, 14, 4, 20, 7, 15, 0]","{(0, 14): (0, 4), (1, 1): (1, 12), (1, 20): (3, 7), (1, 4): (4, 20), (1, 0): (5, 13), (1, 15): (6, 0), (0, 4): (11, 20), (1, 2): (12, 3), (1, 12): (14, 14), (1, 13): (13, 2)}",1440,0,14
6326915,"[[5000 5000]
 [3500 7776]
 [4222 6250]
 [6750 4113]
 [5283 2250]
 [4500 6504]
 [1501 5000]
 [4750 1878]
 [7666 4250]
 [2000 5324]
 [2811 8000]
 [6500 4362]
 [2765 8000]
 [2250 3808]
 [7276 2000]
 [3500 1808]
 [7528 3750]
 [3250 4877]
 [7954 3000]
 [7500 2847]
 [3828 2750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[0, 11, 3, 16, 19, 14, 4, 20, 37, 1, 2, 0]","{(0, 2): (0, 0), (1, 20): (1, 37), (1, 19): (2, 14), (1, 3): (3, 16), (1, 4): (4, 20), (1, 2): (5, 0), (0, 1): (7, 2), (0, 20): (8, 37), (1, 0): (10, 11), (1, 1): (12, 2), (1, 14): (13, 4)}",2042,0,138
7114942,"[[5000 5000]
 [3000 4433]
 [4899 3500]
 [4250 2787]
 [2139 4500]
 [5750 3723]
 [7390 3500]
 [3500 7144]
 [2466 2500]
 [3500 6685]
 [6755 6250]
 [5500 6357]
 [6893 7500]
 [1500 4374]
 [2557 7750]
 [4750 7904]
 [8393 7250]
 [5750 1777]
 [5430 8000]
 [5500 6438]
 [1796 5750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[0, 2, 3, 23, 1, 4, 9, 7, 15, 19, 11, 0]","{(0, 2): (0, 3), (1, 0): (1, 2), (1, 3): (3, 23), (1, 7): (5, 15), (0, 15): (7, 19), (1, 23): (8, 1), (1, 11): (9, 0), (1, 15): (11, 19), (1, 2): (12, 3), (0, 11): (13, 0), (0, 4): (15, 9)}",1604,0,50
7543240,"[[5000 5000]
 [4000 6963]
 [7386 7250]
 [4750 2304]
 [7964 6250]
 [3250 4363]
 [6660 5000]
 [4250 1829]
 [7188 4000]
 [6000 2319]
 [1542 5500]
 [5250 7423]
 [7160 4250]
 [7000 2039]
 [6171 5500]
 [3000 3313]
 [2131 5750]
 [2500 2510]
 [3246 7250]
 [3500 2062]
 [2039 3000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[0, 14, 4, 2, 11, 1, 5, 22, 23, 19, 3, 0]","{(0, 14): (1, 4), (1, 22): (2, 23), (1, 5): (3, 22), (1, 0): (4, 14), (1, 3): (5, 0), (0, 3): (7, 0), (1, 14): (8, 4), (0, 22): (10, 23), (1, 1): (11, 5), (1, 23): (12, 19), (1, 11): (13, 1), (0, 23): (15, 19)}",2849,0,238
7705580,"[[5000 5000]
 [5500 2188]
 [5318 7750]
 [5000 6066]
 [2732 2750]
 [5250 6092]
 [6551 4250]
 [4500 5580]
 [3541 2000]
 [4500 2466]
 [4665 6250]
 [4500 1602]
 [5523 5750]
 [5000 8473]
 [2156 5500]
 [2000 1889]
 [6917 7500]
 [5000 5584]
 [8053 6250]
 [6250 5832]
 [3671 3250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[0, 4, 39, 9, 1, 12, 5, 2, 10, 3, 17, 0]","{(1, 9): (1, 1), (0, 5): (2, 2), (0, 39): (3, 9), (1, 39): (6, 9), (1, 12): (8, 5), (1, 5): (9, 2), (0, 0): (10, 4), (0, 2): (11, 10), (1, 2): (13, 10), (0, 1): (14, 12), (1, 1): (15, 12)}",1735,0,136
7990145,"[[5000 5000]
 [7250 2095]
 [4833 4000]
 [4500 7889]
 [7853 4250]
 [3500 3599]
 [4514 6750]
 [4250 7437]
 [8195 5750]
 [5500 1953]
 [3645 3000]
 [7250 5056]
 [6070 6500]
 [3000 1967]
 [4040 3250]
 [5000 2416]
 [4329 6250]
 [1750 6611]
 [2721 6250]
 [3250 6378]
 [7922 5000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[0, 3, 6, 12, 11, 20, 4, 1, 9, 15, 2, 0]","{(1, 9): (0, 15), (1, 3): (2, 6), (1, 11): (3, 20), (1, 6): (5, 12), (1, 15): (8, 2), (1, 1): (9, 9), (0, 0): (11, 3), (1, 0): (12, 3), (1, 2): (13, 0), (0, 6): (14, 12)}",1603,0,56
8804192,"[[5000 5000]
 [7500 7213]
 [5772 5750]
 [6500 6820]
 [6930 2000]
 [6000 1784]
 [4164 2250]
 [4750 7762]
 [2890 8000]
 [4250 6100]
 [1576 3750]
 [6250 7110]
 [6075 3750]
 [8000 4009]
 [4139 4500]
 [1500 2860]
 [5498 4000]
 [7250 3021]
 [4471 4750]
 [6250 4144]
 [7811 2000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[0, 2, 3, 11, 1, 17, 4, 5, 6, 14, 18, 0]","{(1, 11): (2, 1), (1, 2): (3, 3), (1, 0): (4, 2), (1, 6): (5, 14), (0, 5): (7, 6), (1, 4): (8, 5), (1, 5): (10, 6), (1, 18): (11, 0), (1, 17): (14, 4), (1, 1): (15, 17)}",1525,0,20
