seed,locations,num_uavs,num_customers,num_obstacles,focal_route,cluster_assignments,makespan,collisions_obstacle,collision_uavs
1098222,"[[5000 5000]
 [5000 4391]
 [6203 7000]
 [4500 7300]
 [7062 7000]
 [6750 1985]
 [7073 4500]
 [1500 3713]
 [2562 5250]
 [2250 7769]
 [2962 7000]
 [2250 4264]
 [3406 8250]
 [2250 1969]
 [3900 4500]
 [6750 2741]
 [7032 4500]
 [8000 3141]
 [2934 1750]
 [2750 5477]
 [2781 7500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[(5000, 5000), (5000, 4391), (4750, 4391), (4500, 4391), (4500, 4391), (4500, 7300), (5000, 7000), (5000, 7000), (5000, 7000), (5000, 7000), (5671, 7000), (7062, 7000), (6203, 7000), (5000, 5000), (5000, 5000)]","[[4, 18], [0, 14], [16], [6, 7], [12, 17], [2, 19], [5], [15], [9, 13], [11], [8], [3], [1], [10], []]",2123,0,18
3234108,"[[5000 5000]
 [7250 2957]
 [4945 4250]
 [4500 2980]
 [5562 5750]
 [6750 7501]
 [3227 8250]
 [4500 3453]
 [1905 6500]
 [5500 8083]
 [7210 4500]
 [5500 5361]
 [3843 6500]
 [7000 7530]
 [4233 4250]
 [2750 4144]
 [6100 3750]
 [7500 3265]
 [7691 4750]
 [5500 2686]
 [6174 4250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[(5000, 5000), (5000, 5750), (5562, 5750), (5500, 5642), (7250, 2957), (4500, 2980), (4500, 2980), (4500, 4250), (4945, 4250), (4945, 5000), (4945, 5000), (5000, 5000), (5000, 5000)]","[[7, 10], [4], [3, 6], [5, 12], [0, 15, 19], [2], [18], [13], [1, 17], [9], [8, 11], [14, 16], []]",1805,0,20
4792065,"[[5000 5000]
 [3500 5952]
 [2765 3500]
 [5250 4847]
 [5049 3500]
 [2250 4653]
 [8425 1500]
 [3250 4810]
 [2576 6750]
 [4000 8236]
 [4791 5750]
 [6000 4596]
 [2560 6000]
 [6250 2170]
 [6245 3000]
 [5000 2048]
 [2560 5500]
 [6250 3319]
 [5217 8000]
 [5000 8228]
 [3911 7750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[(5000, 5000), (5250, 4847), (5250, 3500), (5549, 3500), (5049, 3500), (2765, 3500), (2765, 5750), (3500, 5750), (3500, 5750), (3500, 5952), (5000, 5952), (5000, 5952), (5000, 5000)]","[[7, 11], [2, 9, 13], [15, 16], [5, 14], [3, 12], [1, 4], [6], [17], [18], [0], [10, 19], [8], []]",1869,0,22
5541347,"[[5000 5000]
 [6500 6549]
 [3126 5500]
 [6000 6251]
 [7052 2750]
 [7750 3890]
 [4954 4000]
 [6500 4792]
 [5101 4250]
 [2750 4162]
 [1727 7000]
 [4500 4763]
 [6616 5500]
 [2750 5041]
 [6710 4250]
 [6500 4867]
 [7069 1500]
 [2500 7296]
 [1543 2000]
 [4250 3764]
 [6338 4250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[(5000, 5000), (3126, 5000), (3126, 5000), (3126, 5000), (3126, 5000), (3126, 5500), (3126, 5500), (6000, 6251), (6500, 6549), (6500, 4867), (7000, 4867), (7052, 2750), (5000, 5000)]","[[4, 16], [11, 18], [9, 14], [10, 12], [8, 17], [19], [1, 5], [2, 6, 7], [0], [15], [13], [3], []]",2380,0,32
6326915,"[[5000 5000]
 [3500 7776]
 [4222 6250]
 [6750 4113]
 [5283 2250]
 [4500 6504]
 [1501 5000]
 [4750 1878]
 [7666 4250]
 [2000 5324]
 [2811 8000]
 [6500 4362]
 [2765 8000]
 [2250 3808]
 [7276 2000]
 [3500 1808]
 [7528 3750]
 [3250 4877]
 [7954 3000]
 [7500 2847]
 [3828 2750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[(5000, 5000), (5000, 2250), (5000, 2250), (5000, 2250), (5283, 2250), (6750, 4113), (4222, 6250), (3500, 7776), (5000, 5000)]","[[4, 5], [18, 19], [16, 17], [14, 15], [3, 12, 13], [2, 6, 7], [1, 10, 11], [0, 8, 9], []]",2421,0,32
7114942,"[[5000 5000]
 [3000 4433]
 [4899 3500]
 [4250 2787]
 [2139 4500]
 [5750 3723]
 [7390 3500]
 [3500 7144]
 [2466 2500]
 [3500 6685]
 [6755 6250]
 [5500 6357]
 [6893 7500]
 [1500 4374]
 [2557 7750]
 [4750 7904]
 [8393 7250]
 [5750 1777]
 [5430 8000]
 [5500 6438]
 [1796 5750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[(5000, 5000), (2139, 4500), (2139, 4500), (3000, 4433), (3000, 4433), (4250, 2787), (4250, 2787), (4250, 2787), (4250, 2787), (4899, 3500), (5675, 5000), (5500, 5000), (5000, 5000)]","[[9, 11], [3, 8], [7], [13, 18], [0, 10, 19], [5], [12], [4], [2], [1, 16], [14, 15], [6, 17], []]",2098,0,22
7543240,"[[5000 5000]
 [4000 6963]
 [7386 7250]
 [4750 2304]
 [7964 6250]
 [3250 4363]
 [6660 5000]
 [4250 1829]
 [7188 4000]
 [6000 2319]
 [1542 5500]
 [5250 7423]
 [7160 4250]
 [7000 2039]
 [6171 5500]
 [3000 3313]
 [2131 5750]
 [2500 2510]
 [3246 7250]
 [3500 2062]
 [2039 3000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[(5000, 5000), (4750, 3000), (4750, 3000), (4750, 2304), (4250, 3000), (4000, 4000), (4000, 6963), (7386, 7250), (7964, 6250), (5000, 5000), (5000, 5000), (5000, 5000), (5000, 5000), (5000, 5000), (5000, 5000)]","[[9, 17], [16, 18], [8, 19], [2, 13], [12, 14], [4], [0], [1], [3], [15], [6], [7, 10], [11], [5], []]",2475,0,20
7705580,"[[5000 5000]
 [5500 2188]
 [5318 7750]
 [5000 6066]
 [2732 2750]
 [5250 6092]
 [6551 4250]
 [4500 5580]
 [3541 2000]
 [4500 2466]
 [4665 6250]
 [4500 1602]
 [5523 5750]
 [5000 8473]
 [2156 5500]
 [2000 1889]
 [6917 7500]
 [5000 5584]
 [8053 6250]
 [6250 5832]
 [3671 3250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[(5000, 5000), (5000, 6066), (5318, 7750), (5500, 4938), (5500, 2188), (5250, 2750), (5250, 2750), (2732, 2750), (2750, 3616), (4750, 3616), (4771, 5000), (5000, 5000)]","[[15, 16], [2, 5], [1, 12], [7, 10], [0, 8], [4, 18], [19], [3, 13], [11, 14], [9], [6, 17], []]",2476,0,24
7990145,"[[5000 5000]
 [7250 2095]
 [4833 4000]
 [4500 7889]
 [7853 4250]
 [3500 3599]
 [4514 6750]
 [4250 7437]
 [8195 5750]
 [5500 1953]
 [3645 3000]
 [7250 5056]
 [6070 6500]
 [3000 1967]
 [4040 3250]
 [5000 2416]
 [4329 6250]
 [1750 6611]
 [2721 6250]
 [3250 6378]
 [7922 5000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[(5000, 5000), (5000, 7437), (4500, 7889), (4514, 5000), (4833, 4000), (5000, 3599), (7250, 2095), (7853, 4250), (5696, 4250), (5696, 5000), (5000, 5000), (5000, 5000), (5000, 5000), (5000, 5000), (5000, 5000), (5000, 5000)]","[[8, 18], [16], [2], [19], [1, 6, 15], [9, 13], [0], [3], [4, 12], [17], [14], [11], [7], [5], [10], []]",2726,0,36
8804192,"[[5000 5000]
 [7500 7213]
 [5772 5750]
 [6500 6820]
 [6930 2000]
 [6000 1784]
 [4164 2250]
 [4750 7762]
 [2890 8000]
 [4250 6100]
 [1576 3750]
 [6250 7110]
 [6075 3750]
 [8000 4009]
 [4139 4500]
 [1500 2860]
 [5498 4000]
 [7250 3021]
 [4471 4750]
 [6250 4144]
 [7811 2000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[(5000, 5000), (5772, 5750), (5772, 5750), (5750, 6820), (6500, 6820), (7500, 7213), (7000, 5404), (7000, 5404), (7000, 5404), (6930, 2000), (5500, 3358), (5500, 3358), (5500, 3358), (5500, 3358), (5000, 3358), (5000, 5000)]","[[10, 11], [1, 6], [12], [7], [2], [0, 18], [17, 19], [8], [16], [3], [13], [5], [4], [15], [9, 14], []]",2471,0,14
